[2021-03-29T14:35:37.633286+02:00] main.INFO: Db connection established successfully.... [] []
[2021-03-29T14:37:20.721193+02:00] main.INFO: Db connection established successfully withselectAll query.... [] []
[2021-03-29T14:39:05.321240+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T14:39:58.885522+02:00] main.INFO: Db connection established successfully with selectById query.... [] []
[2021-03-29T14:40:43.553084+02:00] main.INFO: Db connection established successfully with selectById query.... [] []
[2021-03-29T14:40:54.274630+02:00] main.INFO: Db connection established successfully with selectById query.... [] []
[2021-03-29T15:34:21.366600+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T15:41:21.766341+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T15:41:46.171816+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T15:42:02.213413+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T15:44:41.865645+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T15:44:51.439443+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T15:47:11.601367+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T15:47:52.311191+02:00] main.INFO: Db connection established successfully with selectById query.... [] []
[2021-03-29T15:51:53.227238+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T15:57:52.331085+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T15:59:33.185816+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:00:14.340499+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:05:46.576567+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:53.123431+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:53.140077+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:53.147549+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
